id;cidade;destino;destino_normalizado;ponto_representativo;status;distancia_rota_km;distancia_reta_km;tempo_osrm_min;tempo_informado_min;diferenca_tempo_min;tarifa_por_km_brl;valor_bruto_brl;valor_minimo_brl;valor_anterior_brl;valor_calculado_brl;diferenca_valor_brl;regra_preco_aplicada;latitude_destino;longitude_destino;distancia_ponto_ate_via_osrm_m
1;Gaspar;Aguas Negras - 01;Aguas Negras - 01;Estrada Geral Aguas Negras (inicio/Figueira);OK;7,09;5,14;11,0;11;0,0;1,50;10,64;8,00;10,23;10,64;0,41;R$1,50_por_km;-26,912000;-48,988100;1,1
2;Gaspar;Aguas Negras - 02;Aguas Negras - 02;Estrada Geral Aguas Negras (meio);OK;8,81;6,93;14,2;14;0,2;1,50;13,22;8,00;12,81;13,22;0,41;R$1,50_por_km;-26,895000;-48,995000;8,2
3;Gaspar;Aguas Negras - 03;Aguas Negras - 03;Estrada Geral Aguas Negras (fim/fundos);OK;12,62;8,82;15,2;15;0,2;1,50;18,93;8,00;18,52;18,93;0,41;R$1,50_por_km;-26,878000;-49,002000;3,0
4;Gaspar;Alto Gasparinho;Alto Gasparinho;Alto Gasparinho (centro);OK;10,61;7,36;16,9;17;-0,1;1,50;15,92;8,00;16,32;15,92;-0,40;R$1,50_por_km;-27,005590;-48,961800;79,4
5;Gaspar;Arraial - 1;Arraial - 01;Estrada Geral do Arraial (inicio);OK;12,98;6,43;19,2;19;0,2;1,50;19,47;8,00;19,07;19,47;0,40;R$1,50_por_km;-26,885000;-48,965000;767,0
6;Gaspar;Arraial - 2;Arraial - 02;Estrada Geral do Arraial (meio);OK;14,33;8,76;20,2;20;0,2;1,50;21,50;8,00;21,09;21,50;0,41;R$1,50_por_km;-26,865000;-48,972000;257,6
7;Gaspar;Arraial D'ouro;Arraial D'Ouro;Arraial do Ouro;OK;15,90;9,70;22,6;22;0,6;1,50;23,85;8,00;18,34;23,85;5,51;R$1,50_por_km;-26,857280;-48,976130;70,2
8;Gaspar;Barracão;Barracão;Barracão (centro);OK;15,92;8,70;22,9;23;-0,1;1,50;23,88;8,00;19,19;23,88;4,69;R$1,50_por_km;-26,986860;-48,876610;442,8
9;Gaspar;Barracão - 02;Barracão - 02;Barracão (fundos/Rua João Barbieri);OK;14,32;11,41;16,5;17;-0,5;1,50;21,48;8,00;16,77;21,48;4,71;R$1,50_por_km;-27,015000;-48,868000;95,8
10;Gaspar;Bateias;Bateias;Bateias (centro);OK;9,40;6,95;12,0;12;0,0;1,50;14,10;8,00;14,50;14,10;-0,40;R$1,50_por_km;-26,995190;-48,913100;113,8
11;Gaspar;Bela Vista;Bela Vista;Bela Vista (centro);OK;9,39;7,50;14,6;14;0,6;1,50;14,09;8,00;13,68;14,09;0,41;R$1,50_por_km;-26,896640;-49,004760;9,7
12;Gaspar;Belchior - 1;Belchior - 01;Belchior (inicio/BR-470);OK;13,56;8,22;16,8;16;0,8;1,50;20,34;8,00;19,93;20,34;0,41;R$1,50_por_km;-26,885000;-49,002000;328,7
13;Gaspar;Belchior Alto;Belchior Alto;Belchior Alto (Cascanéia/divisa);OK;23,15;16,44;28,8;28;0,8;1,50;34,73;8,00;29,21;34,73;5,52;R$1,50_por_km;-26,808390;-49,021540;388,3
14;Gaspar;Belchior Baixo;Belchior Baixo;Belchior Baixo (centro);OK;12,54;9,44;16,0;16;0,0;1,50;18,81;8,00;18,41;18,81;0,40;R$1,50_por_km;-26,876410;-49,009630;55,4
15;Gaspar;Belchior Central;Belchior Central;Belchior Central;OK;16,23;12,87;18,5;18;0,5;1,50;24,35;8,00;18,81;24,35;5,54;R$1,50_por_km;-26,855750;-49,035560;14,2
16;Gaspar;Centro;Centro;Centro de Gaspar;OK;2,38;1,19;5,4;5;0,4;1,50;3,57;8,00;8,00;8,00;0,00;valor_minimo_R$8,00;-26,933100;-48,955880;22,5
17;Gaspar;Coloninha;Coloninha;Coloninha;OK;4,54;2,70;7,3;7;0,3;1,50;6,81;8,00;8,00;8,00;0,00;valor_minimo_R$8,00;-26,927960;-48,970690;77,5
18;Gaspar;Figueira;Figueira;Figueira;OK;8,06;5,44;12,4;12;0,4;1,50;12,09;8,00;11,69;12,09;0,40;R$1,50_por_km;-26,916210;-48,994930;39,5
19;Gaspar;Gaspar Alto;Gaspar Alto;Gaspar Alto;OK;18,30;12,02;29,5;30;-0,5;1,50;27,45;8,00;22,82;27,45;4,63;R$1,50_por_km;-27,016000;-49,034430;433,1
20;Gaspar;Gaspar Grande - 01;Gaspar Grande - 01;Rua Prefeito Leopoldo Schramm (inicio);OK;4,27;2,75;7,1;8;-0,9;1,50;6,41;8,00;8,00;8,00;0,00;valor_minimo_R$8,00;-26,938000;-48,975000;86,1
21;Gaspar;Gaspar Grande - 02;Gaspar Grande - 02;Colégio Frei Godofredo/meio;OK;6,80;4,30;11,2;11;0,2;1,50;10,20;8,00;10,68;10,20;-0,48;R$1,50_por_km;-26,948000;-48,990000;3,5
