id,cidade,destino,distancia_km,tempo_estimado_min,taxa_por_km,valor_calculado,descricao_ponto,latitude,longitude
1,Gaspar,Aguas Negras - 01,6.82,10.6,1.5,10.23,Estrada Geral Águas Negras (Início / Figueira),-26.912,-48.9881
2,Gaspar,Aguas Negras - 02,8.54,13.8,1.5,12.81,Estrada Geral Águas Negras (Meio),-26.895,-48.995
3,Gaspar,Aguas Negras - 03,12.35,14.8,1.5,18.52,Estrada Geral Águas Negras (Fim / Fundos),-26.878,-49.002
4,Gaspar,Alto Gasparinho,10.88,17.4,1.5,16.32,Alto Gasparinho (Centro),-27.00559,-48.9618
5,Gaspar,Arraial - 1,12.71,18.8,1.5,19.07,Estrada Geral do Arraial (Início),-26.885,-48.965
6,Gaspar,Arraial - 2,14.06,19.8,1.5,21.09,Estrada Geral do Arraial (Meio),-26.865,-48.972
7,Gaspar,Arraial D'ouro,15.63,22.2,1.5,23.45,Arraial do Ouro,-26.85728,-48.97613
8,Gaspar,Barracão,16.2,23.3,1.5,24.3,Barracão (Centro),-26.98686,-48.87661
9,Gaspar,Barracão - 02,14.59,16.9,1.5,21.88,Barracão (Fundos / Rua João Barbieri),-27.015,-48.868
10,Gaspar,Bateias,9.67,12.4,1.5,14.5,Bateias (Centro),-26.99519,-48.9131
11,Gaspar,Bela Vista,9.12,14.2,1.5,13.68,Bela Vista (Centro),-26.89664,-49.00476
12,Gaspar,Belchior - 1,13.29,16.4,1.5,19.93,Belchior (Início / BR-470),-26.885,-49.002
13,Gaspar,Belchior Alto,22.88,28.4,1.5,34.32,Belchior Alto (Cascanéia / Divisa),-26.80839,-49.02154
14,Gaspar,Belchior Baixo,12.27,15.6,1.5,18.41,Belchior Baixo (Centro),-26.87641,-49.00963
15,Gaspar,Belchior Central,15.95,18.1,1.5,23.92,Belchior Central,-26.85575,-49.03556
16,Gaspar,Centro,2.11,5.3,1.5,3.17,Centro de Gaspar,-26.9331,-48.95588
17,Gaspar,Coloninha,4.27,6.8,1.5,6.4,Coloninha,-26.92796,-48.97069
18,Gaspar,Figueira,7.79,12.0,1.5,11.69,Figueira,-26.91621,-48.99493
19,Gaspar,Gaspar Alto,18.62,29.8,1.5,27.93,Gaspar Alto,-27.016,-49.03443
20,Gaspar,Gaspar Grande - 01,4.54,7.5,1.5,6.81,Gaspar Grande 01 (Rua Pref. Leopoldo Schramm início),-26.938,-48.975
21,Gaspar,Gaspar Grande - 02,7.12,11.4,1.5,10.68,Gaspar Grande 02 (Colégio Frei Godofredo / Meio),-26.948,-48.99
22,Gaspar,Gaspar Grande - 03,12.1,19.6,1.5,18.15,Gaspar Grande 03 (Sociedade Cruzeiro),-26.95961,-49.02015
23,Gaspar,Gaspar Grande - 04,17.88,32.7,1.5,26.82,Gaspar Grande 04 (Cascata Carolina),-26.968,-49.04
24,Gaspar,Gaspar Grande - 05,18.75,29.8,1.5,28.12,Gaspar Grande 05 (Fim da Estrada Geral / Morro do Baú),-26.978,-49.06
25,Gaspar,Gaspar Mirim - 01,1.12,2.0,1.5,1.68,Gaspar Mirim 01 (Rua Frei Canísio início),-26.945,-48.948
26,Gaspar,Gaspar Mirim - 02,1.86,2.8,1.5,2.79,Gaspar Mirim 02 (Gaspar Mirim Centro),-26.95243,-48.94715
27,Gaspar,Gasparinho - 01,3.86,6.6,1.5,5.79,Gasparinho 01 (Rua Frei Solano início),-26.938,-48.965
28,Gaspar,Gasparinho - 02,3.37,6.0,1.5,5.05,Gasparinho 02 (Capela Santo Antônio),-26.94624,-48.96923
29,Gaspar,Gasparinho - 03,5.41,8.4,1.5,8.12,Gasparinho 03 (Rua Gasparinho meio),-26.965,-48.966
30,Gaspar,Gasparinho - 04,9.53,15.2,1.5,14.29,Gasparinho 04 (Fazzenda Park Hotel),-26.985,-48.963
31,Gaspar,Gasparinho - 05,10.06,15.2,1.5,15.09,Gasparinho 05 (Gasparinho Central),-26.99749,-48.95989
32,Gaspar,Lagoa - 01,7.88,11.4,1.5,11.82,Lagoa 01 (Rua Lagoa início),-26.918,-48.915
33,Gaspar,Lagoa - 02,11.71,21.5,1.5,17.57,Lagoa 02 (Lagoa Centro),-26.90476,-48.90046
34,Gaspar,Lagoa - 03,14.26,15.5,1.5,21.39,Lagoa 03 (Lagoa Fundos / Divisa),-26.89,-48.885
35,Gaspar,Macucos,11.02,16.3,1.5,16.53,Macucos,-26.95755,-48.87294
36,Gaspar,Margem Esquerda - 01,3.26,5.2,1.5,4.89,Margem Esquerda 01 (Ponte Hercílio Deeke),-26.925,-48.96
37,Gaspar,Margem Esquerda - 02,9.8,12.9,1.5,14.7,Margem Esquerda 02 (Centro do Bairro),-26.9053,-48.96073
38,Gaspar,Margem Esquerda - 03,9.88,15.9,1.5,14.82,Margem Esquerda 03 (Fundos / Direção Ilhota),-26.89,-48.95
39,Gaspar,Óleo Grande,15.91,19.9,1.5,23.87,Óleo Grande,-26.97839,-48.8577
40,Gaspar,Pocinho,16.98,21.2,1.5,25.47,Pocinho / Ribeirão Pocinho,-26.89467,-48.84794
41,Gaspar,Poço Grande - 01,3.38,6.3,1.5,5.07,Poço Grande 01 (Início Rod. Jorge Lacerda),-26.93,-48.925
42,Gaspar,Poço Grande - 02,8.17,11.9,1.5,12.25,Poço Grande 02 (Centro),-26.92154,-48.90603
43,Gaspar,Poço Grande 03 -,11.41,16.0,1.5,17.12,Poço Grande 03 (Fundos Poço Grande),-26.94537,-48.87387
44,Gaspar,Santa Teresinha - 02,2.05,3.6,1.5,3.07,Santa Terezinha 02 (Rua Rodolfo V. Pamplona Meio),-26.942,-48.935
45,Gaspar,Santa Teresinha - 03,3.23,5.4,1.5,4.84,Santa Terezinha 03 (Santa Terezinha Leste),-26.94616,-48.9251
46,Gaspar,Santa Terezinha,0.0,0.0,1.5,0.0,Santa Terezinha (Base / Ponto 0),-26.9385,-48.9465
47,Gaspar,Sertão Verde,6.17,8.9,1.5,9.25,Sertão Verde,-26.91302,-48.97245
48,Gaspar,Sete de Setembro,2.24,4.1,1.5,3.36,Sete de Setembro,-26.92747,-48.94246
